Category;Term;Shortcut
Annotation / Relational Phrases;Band pulls out;bpllso
Annotation / Relational Phrases;Drives the groove;dtgrv
Annotation / Relational Phrases;Drums drop out;drdo
Annotation / Relational Phrases;Gradual fade-out;gfdo
Annotation / Relational Phrases;Gradually fades out;gfdso
Annotation / Relational Phrases;Holds the momentum;Htm
Annotation / Relational Phrases;in counterpoint;inct
Annotation / Relational Phrases;in parallel harmony with;iphw
Annotation / Relational Phrases;in parallel with;ipw
Annotation / Relational Phrases;in the mix;itmx
Annotation / Relational Phrases;in the pocket;itp
Annotation / Relational Phrases;Making space for;mkspf
Annotation / Relational Phrases;near the bridge;ntb
Annotation / Relational Phrases;off the beat;oftb
Annotation / Relational Phrases;on;on
Annotation / Relational Phrases;on the beat;ontb
Annotation / Relational Phrases;On the edges;otedg
Annotation / Relational Phrases;On the sides;otsd
Annotation / Relational Phrases;Opens the chorus;optc
Annotation / Relational Phrases;Opens the song;opts
Annotation / Relational Phrases;Opens the verse;optv
Annotation / Relational Phrases;over the fingerboard;otf
Annotation / Relational Phrases;Over the top of;otto
Annotation / Relational Phrases;Over the top of the mix;ottotm
Annotation / Relational Phrases;Plays the root;Ptr
Annotation / Relational Phrases;Prepares for the transition;pfttr
Annotation / Relational Phrases;resolves to;reto
Annotation / Relational Phrases;Softly swells beneath;ssben
Annotation / Relational Phrases;Under the mix;utm
Annotation / Relational Phrases;Vocal harmonies join in parallel;vhjip
Annotation / Relational Phrases;Vocals drop out;vcdo
Form / Arrangement / Function;arrangement;arrg
Form / Arrangement / Function;backing;bkg
Form / Arrangement / Function;beat drops out;bdo
Form / Arrangement / Function;bed;bed
Form / Arrangement / Function;brass section;brss
Form / Arrangement / Function;break;brk
Form / Arrangement / Function;breakdown;brkd
Form / Arrangement / Function;breakdowns;brkds
Form / Arrangement / Function;bridge;brdg
Form / Arrangement / Function;bridges;brdgs
Form / Arrangement / Function;build;bld
Form / Arrangement / Function;build-up;bldu
Form / Arrangement / Function;build-ups;bldus
Form / Arrangement / Function;building;bldg
Form / Arrangement / Function;building up;bldgu
Form / Arrangement / Function;chorus;chrs
Form / Arrangement / Function;chorus hook;chorh
Form / Arrangement / Function;chorus melody;chorm
Form / Arrangement / Function;choruses;chrss
Form / Arrangement / Function;coda;coda
Form / Arrangement / Function;codas;codas
Form / Arrangement / Function;develop;dvlp
Form / Arrangement / Function;developed;dvlpd
Form / Arrangement / Function;developing;dvlpg
Form / Arrangement / Function;development;dvlpm
Form / Arrangement / Function;djembe solo;djmso
Form / Arrangement / Function;double;dbl
Form / Arrangement / Function;doubled;dbld
Form / Arrangement / Function;doubling;dblg
Form / Arrangement / Function;down;dwn
Form / Arrangement / Function;drop;drp
Form / Arrangement / Function;drop out;drpo
Form / Arrangement / Function;Dropped;Drpd
Form / Arrangement / Function;dropping;drpg
Form / Arrangement / Function;dropping out;drpgo
Form / Arrangement / Function;drops;drps
Form / Arrangement / Function;Established;estbl
Form / Arrangement / Function;Establishing;Estblg
Form / Arrangement / Function;fade;fd
Form / Arrangement / Function;fade out;fdo
Form / Arrangement / Function;fade-in;fdi
Form / Arrangement / Function;fades;fds
Form / Arrangement / Function;fades in;fdsi
Form / Arrangement / Function;fading;fdg
Form / Arrangement / Function;fading in;fdgi
Form / Arrangement / Function;harmonica solo;hmncaso
Form / Arrangement / Function;hook;hk
Form / Arrangement / Function;hooks;hks
Form / Arrangement / Function;horn section;hrnsc
Form / Arrangement / Function;interlude;intrl
Form / Arrangement / Function;interludes;intrls
Form / Arrangement / Function;intro;intr
Form / Arrangement / Function;Introduction;intrdct
Form / Arrangement / Function;intros;intrs
Form / Arrangement / Function;layer;lyr
Form / Arrangement / Function;layered;lyrd
Form / Arrangement / Function;layering;lyrg
Form / Arrangement / Function;layers;lyrs
Form / Arrangement / Function;lead;ld
Form / Arrangement / Function;motivic development;mtdev
Form / Arrangement / Function;opening;opng
Form / Arrangement / Function;opening melody;opnm
Form / Arrangement / Function;outro;outr
Form / Arrangement / Function;outros;outrs
Form / Arrangement / Function;pause;pse
Form / Arrangement / Function;Piano solo;pnso
Form / Arrangement / Function;pitch-drop;ptdr
Form / Arrangement / Function;post-chorus;pstcrs
Form / Arrangement / Function;post-choruses;pstcrss
Form / Arrangement / Function;pre-chorus;prcr
Form / Arrangement / Function;pre-choruses;prcrs
Form / Arrangement / Function;progress;prgs
Form / Arrangement / Function;recurring theme;Recth
Form / Arrangement / Function;refrain;refr
Form / Arrangement / Function;refrains;refrs
Form / Arrangement / Function;repeat;rpt
Form / Arrangement / Function;repeated;rptd
Form / Arrangement / Function;repeating;rptg
